model,condition,n_items,j1_act_shift_rate,j1_act_shift_ci_low,j1_act_shift_ci_high,j1_heart_shift_rate,j1_heart_shift_ci_low,j1_heart_shift_ci_high,j2_act_revision_rate,j2_heart_revision_rate,motive_focus_rate,motive_focus_delta_vs_baseline,frame_echo_rate,frame_echo_delta_vs_baseline,frame_echo_score_delta_vs_baseline,semantic_raw_rate,semantic_raw_delta_vs_baseline,semantic_score_raw_delta_vs_baseline,semantic_controlled_rate,semantic_controlled_delta_vs_baseline,semantic_score_controlled_delta_vs_baseline,restructure_beyond_echo_rate,restructure_delta_vs_baseline,semantic_score_raw_mean,semantic_score_controlled_mean,dissociated_explanation_shift_rate,consistency_score_mean,posthoc_christianization_index,posthoc_controlled_semantic_index,j1_act_shift_rate_ci_low,j1_act_shift_rate_ci_high,j1_heart_shift_rate_ci_low,j1_heart_shift_rate_ci_high,motive_focus_delta_vs_baseline_ci_low,motive_focus_delta_vs_baseline_ci_high,frame_echo_delta_vs_baseline_ci_low,frame_echo_delta_vs_baseline_ci_high,semantic_raw_delta_vs_baseline_ci_low,semantic_raw_delta_vs_baseline_ci_high,semantic_controlled_delta_vs_baseline_ci_low,semantic_controlled_delta_vs_baseline_ci_high,restructure_delta_vs_baseline_ci_low,restructure_delta_vs_baseline_ci_high,frame_echo_score_delta_vs_baseline_ci_low,frame_echo_score_delta_vs_baseline_ci_high,semantic_score_raw_delta_vs_baseline_ci_low,semantic_score_raw_delta_vs_baseline_ci_high,semantic_score_controlled_delta_vs_baseline_ci_low,semantic_score_controlled_delta_vs_baseline_ci_high
qwen2.5:7b-instruct,baseline,120,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.025,0.8916666666666667,0.0,0.5083333333333333,0.0,0.0,0.5083333333333333,0.0,0.0,0.15,0.0,0.0,0.0,0.0,0.675,0.15833333333333333,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
qwen2.5:7b-instruct,secular_pre,120,0.008333333333333333,,,0.075,,,0.0,0.008333333333333333,1.0,0.10833333333333334,0.5833333333333334,0.075,0.14166666666666666,0.65,0.14166666666666666,0.30833333333333335,0.3,0.15,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.9833333333333333,0.325,0.18333333333333332,,0.2636363636363636,0.15454545454545454,0.0,0.025,0.03333333333333333,0.125,0.058333333333333334,0.16666666666666666,-0.03333333333333333,0.18333333333333332,0.03333333333333333,0.2418749999999998,0.06666666666666667,0.23333333333333334,0.025,0.11666666666666667,0.02479166666666668,0.25833333333333336,0.14145833333333335,0.475,0.075,0.25
qwen2.5:7b-instruct,christian_pre,120,0.0,,,0.09166666666666666,,,0.0,0.008333333333333333,1.0,0.10833333333333334,0.6583333333333333,0.15,0.15833333333333333,0.7166666666666667,0.20833333333333334,0.30833333333333335,0.3,0.15,0.15,0.058333333333333334,0.058333333333333334,0.9833333333333333,0.30833333333333335,0.18333333333333332,,0.29357798165137616,0.14678899082568808,0.0,0.0,0.041666666666666664,0.14166666666666666,0.058333333333333334,0.16666666666666666,0.058333333333333334,0.25,0.125,0.3,0.06645833333333334,0.23333333333333334,0.016666666666666666,0.1,0.06666666666666667,0.25833333333333336,0.15812500000000002,0.4583333333333333,0.05,0.23333333333333334
qwen2.5:7b-instruct,secular_post,120,0.0,,,0.0,,,0.03333333333333333,0.08333333333333333,1.0,0.10833333333333334,0.525,0.016666666666666666,0.025,0.6,0.09166666666666666,0.175,0.275,0.125,0.15,0.075,0.075,0.85,0.30833333333333335,0.18333333333333332,,0.175,0.15,0.0,0.0,0.0,0.0,0.058333333333333334,0.16666666666666666,-0.09166666666666666,0.125,-0.016666666666666666,0.19166666666666668,0.041666666666666664,0.20833333333333334,0.03333333333333333,0.125,-0.09166666666666666,0.1418749999999998,0.008333333333333333,0.3416666666666667,0.058333333333333334,0.24166666666666667
qwen2.5:7b-instruct,christian_post,120,0.0,,,0.0,,,0.008333333333333333,0.06666666666666667,1.0,0.10833333333333334,0.55,0.041666666666666664,0.058333333333333334,0.6,0.09166666666666666,0.15833333333333333,0.25,0.1,0.1,0.05,0.05,0.8333333333333334,0.25833333333333336,0.175,,0.15833333333333333,0.1,0.0,0.0,0.0,0.0,0.058333333333333334,0.16666666666666666,-0.058333333333333334,0.14166666666666666,-0.008333333333333333,0.19166666666666668,0.008333333333333333,0.18333333333333332,0.016666666666666666,0.09166666666666666,-0.041666666666666664,0.16666666666666666,-0.008333333333333333,0.31666666666666665,0.008333333333333333,0.18333333333333332
qwen2.5:0.5b-instruct,baseline,120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.8083333333333333,0.0,0.3416666666666667,0.0,0.0,0.3416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
qwen2.5:0.5b-instruct,secular_pre,120,0.008333333333333333,,,0.016666666666666666,,,0.0,0.0,1.0,0.19166666666666668,0.55,0.20833333333333334,0.10833333333333334,0.55,0.20833333333333334,0.10833333333333334,0.0,0.0,0.0,0.0,0.0,0.7083333333333334,0.0,0.0,,0.11965811965811966,0.0,0.0,0.025,0.0,0.041666666666666664,0.125,0.26666666666666666,0.11666666666666667,0.3,0.11666666666666667,0.3,0.0,0.0,0.0,0.0,-0.08354166666666665,0.2916666666666667,-0.08354166666666665,0.2916666666666667,0.0,0.0
qwen2.5:0.5b-instruct,christian_pre,120,0.008333333333333333,,,0.008333333333333333,,,0.0,0.0,1.0,0.19166666666666668,0.575,0.23333333333333334,0.075,0.575,0.23333333333333334,0.075,0.0,0.0,0.0,0.0,0.0,0.675,0.0,0.0,,0.07627118644067797,0.0,0.0,0.025,0.0,0.025,0.125,0.26666666666666666,0.13333333333333333,0.325,0.13333333333333333,0.325,0.0,0.0,0.0,0.0,-0.125,0.25,-0.125,0.25,0.0,0.0
qwen2.5:0.5b-instruct,secular_post,120,0.0,,,0.0,,,0.0,0.008333333333333333,0.9833333333333333,0.175,0.5333333333333333,0.19166666666666668,0.25833333333333336,0.5333333333333333,0.19166666666666668,0.275,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,0.0,0.875,0.008333333333333333,0.008333333333333333,,0.275,0.008333333333333333,0.0,0.0,0.0,0.0,0.10833333333333334,0.25,0.09166666666666666,0.3,0.09166666666666666,0.3,0.0,0.025,0.0,0.0,0.05,0.475,0.058333333333333334,0.48333333333333334,0.0,0.025
qwen2.5:0.5b-instruct,christian_post,120,0.0,,,0.0,,,0.0,0.008333333333333333,1.0,0.19166666666666668,0.48333333333333334,0.14166666666666666,0.18333333333333332,0.49166666666666664,0.15,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.008333333333333333,0.008333333333333333,0.8333333333333334,0.03333333333333333,0.03333333333333333,,0.23333333333333334,0.03333333333333333,0.0,0.0,0.0,0.0,0.125,0.26666666666666666,0.03333333333333333,0.25,0.041666666666666664,0.25020833333333314,0.008333333333333333,0.075,0.0,0.025,-0.041666666666666664,0.4083333333333333,0.0,0.4666666666666667,0.008333333333333333,0.075
